12.2649          20.2999
17.9197          10.4358
14.4392          21.1668
1.5908          22.7124
16.7336          8.04722
29.2956          6.97922
30.3278          12.8813
57.1713          22.4377
49.5418          33.4098
46.0776          68.4692
55.7458          66.8931
55.1566          69.6779
50.899          82.7021
39.0253          87.1426
49.2854          97.5329
66.8908          84.6452
95.7851          92.0981
74.5816          62.5914
62.9349          47.4611
36.4829          57.6397
35.5631          59.1293
9.77812          52.3082
4.19845          46.8219
12.191          38.6011
31.4788          28.8354
51.4662          2.00195
78.8555          14.512
84.3088          9.32537
99.4623          15.2886
93.5227          46.1752
95.4638          44.5611
30.5543          4.83572
